Id,SalePrice
1461,119051.32717399466
1462,159744.18715074903
1463,173450.40336012255
1464,188778.85535032058
1465,197753.41257138798
1466,180439.2224973486
1467,172691.9436460948
1468,175636.32799900946
1469,188955.96368110843
1470,121660.90584198377
1471,193323.3445542486
1472,91805.27599177623
1473,96015.50912305612
1474,148062.9149755285
1475,134388.88004592987
1476,382831.4520695723
1477,233766.66332429735
1478,309808.1479697961
1479,294967.7164100075
1480,507336.8687415582
1481,386318.9487363527
1482,202839.9313895311
1483,179383.6966311465
1484,163036.78624174552
1485,173126.55185213053
1486,203338.20803691368
1487,373487.7746976927
1488,240602.24646894724
1489,207515.91076903438
1490,175981.09455758144
1491,187892.82216504496
1492,78239.11705110657
1493,198396.05430609558
1494,290184.3361724396
1495,310808.6396594651
1496,230296.44063127757
1497,186004.13676882765
1498,160211.71725752717
1499,159202.34513106037
1500,145413.46730237975
1501,172894.2664491919
1502,153589.33245199878
1503,271575.54359904793
1504,216049.00488680424
1505,206282.91845424814
1506,208861.1745850108
1507,202374.9895432451
1508,192848.6999225496
1509,173545.1555120358
1510,150401.1036318012
1511,148969.5276707457
1512,159284.31746865183
1513,150951.8044006361
1514,183151.35026196105
1515,115547.12335686292
1516,150529.8346175053
1517,162010.1427229643
1518,141042.34743334443
1519,219487.29756358513
1520,142342.2275131721
1521,152969.8065915115
1522,154026.34808375096
1523,117203.5039027213
1524,132245.79232308225
1525,116829.04661387722
1526,99689.41903700444
1527,87476.0918034321
1528,136620.90942582957
1529,159464.02421851654
1530,162195.1441928376
1531,119568.93409569636
1532,83614.8195988952
1533,152800.1225103814
1534,112595.46362311872
1535,139991.47915486715
1536,105757.48609521061
1537,81252.30962741027
1538,162447.64234479822
1539,216938.22290436045
1540,96854.55087059332
1541,166383.3221677137
1542,145392.7754721844
1543,258655.72726082272
1544,83543.80420035282
1545,107869.57584189612
1546,116402.02233883811
1547,117571.55222810467
1548,134115.1367351738
1549,111124.80110464928
1550,152637.09330897234
1551,113005.49392077349
1552,121539.42152926534
1553,132686.6333634536
1554,117717.3922946555
1555,176220.2331343007
1556,88589.24115043791
1557,86265.15180068092
1558,93813.28375081638
1559,89958.48650630364
1560,117004.23989226334
1561,153594.17396792574
1562,146121.0528191854
1563,127946.43055623221
1564,157677.52280808912
1565,146466.94555877306
1566,212411.0602943138
1567,68520.72402348113
1568,242931.52123119857
1569,146018.45394690565
1570,141498.36005958167
1571,137294.5839888325
1572,144498.39972589424
1573,241553.20551163223
1574,127176.61031104338
1575,218305.6818940073
1576,219918.22818948585
1577,196302.29272293628
1578,152969.9663297611
1579,142001.75077494278
1580,201278.4116645734
1581,137879.68701269664
1582,130565.77770015127
1583,284442.9600704933
1584,241101.72836169926
1585,141623.65588882484
1586,73688.11223398244
1587,92644.63950867797
1588,167008.47955117677
1589,81575.83200668328
1590,141884.65121913515
1591,104738.60086916081
1592,131446.6194652479
1593,124834.07768121085
1594,161096.59420484726
1595,107968.37393080932
1596,271184.67384950136
1597,186862.98818129444
